leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) Y
1.199998366533215,0,0,1.199998366533215
1.199997258859408,0.024,0.024,1.199997258859408
1.199995222582373,0.048,0.048,1.199995222582373
1.199991492204519,0.07200000000000001,0.07200000000000001,1.199991492204519
1.199984695166814,0.096,0.096,1.199984695166814
1.199972378176799,0.12,0.12,1.199972378176799
1.199950209715805,0.144,0.144,1.199950209715805
1.199910654671404,0.168,0.168,1.199910654671404
1.199840842227422,0.192,0.192,1.199840842227422
1.199719261601685,0.216,0.216,1.199719261601685
1.199510833442264,0.24,0.24,1.199510833442264
1.199159783553187,0.264,0.264,1.199159783553187
1.198579446575069,0.288,0.288,1.198579446575069
1.197637334282706,0.312,0.312,1.197637334282706
1.1961320004423,0.336,0.336,1.1961320004423
1.193754554378296,0.36,0.36,1.193754554378296
1.19001991398013,0.3840000000000001,0.3840000000000001,1.19001991398013
1.184133620027873,0.4080000000000001,0.4080000000000001,1.184133620027873
1.174701299730408,0.4320000000000001,0.4320000000000001,1.174701299730408
1.15896255471682,0.4560000000000001,0.4560000000000001,1.15896255471682
1.129706612003373,0.4800000000000001,0.4800000000000001,1.129706612003373
1.053933288256143,0.5040000000000001,0.5040000000000001,1.053933288256143
0.7974651967742072,0.5280000000000001,0.5280000000000001,0.7974651967742072
0.6557089105814145,0.5520000000000002,0.5520000000000002,0.6557089105814145
0.5962775915288058,0.5760000000000002,0.5760000000000002,0.5962775915288058
0.5558845467280037,0.6000000000000002,0.6000000000000002,0.5558845467280037
0.5233690017147633,0.6240000000000002,0.6240000000000002,0.5233690017147633
0.4951568626751908,0.6480000000000002,0.6480000000000002,0.4951568626751908
0.4695855033599667,0.6720000000000003,0.6720000000000003,0.4695855033599667
0.4458364348179703,0.6960000000000003,0.6960000000000003,0.4458364348179703
0.42345042162327,0.7200000000000003,0.7200000000000003,0.42345042162327
0.4021652957156037,0.7440000000000003,0.7440000000000003,0.4021652957156037
0.3818358562771269,0.7680000000000003,0.7680000000000003,0.3818358562771269
0.3623911109589807,0.7920000000000004,0.7920000000000004,0.3623911109589807
0.3438123731146212,0.8160000000000004,0.8160000000000004,0.3438123731146212
0.3261271596074994,0.8400000000000004,0.8400000000000004,0.3261271596074994
0.3094172515487087,0.8640000000000004,0.8640000000000004,0.3094172515487087
0.2938283681051159,0.8880000000000005,0.8880000000000005,0.2938283681051159
0.2795386238704454,0.9120000000000005,0.9120000000000005,0.2795386238704454
0.2666630111005256,0.9360000000000005,0.9360000000000005,0.2666630111005256
0.2551849345407479,0.9600000000000005,0.9600000000000005,0.2551849345407479
0.2449862024416612,0.9840000000000005,0.9840000000000005,0.2449862024416612
0.2359117300675081,1.008,1.008,0.2359117300675081
0.2278097303004529,1.032,1.032,0.2278097303004529
0.220546313434407,1.056,1.056,0.220546313434407
0.2140078197128623,1.080000000000001,1.080000000000001,0.2140078197128623
0.2080989262853483,1.104000000000001,1.104000000000001,0.2080989262853483
0.2027397840300982,1.128000000000001,1.128000000000001,0.2027397840300982
0.1978632779893154,1.152000000000001,1.152000000000001,0.1978632779893154
0.1934127002959518,1.176000000000001,1.176000000000001,0.1934127002959518
0.189339855147957,1.2,1.2,0.189339855147957
