leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) Y
0.9999998490398562,0,0,0.9999998490398562
0.9999998215732525,0.02,0.02,0.9999998215732525
0.9999997742943794,0.04,0.04,0.9999997742943794
0.9999996917215972,0.06,0.06,0.9999996917215972
0.9999995457521237,0.08,0.08,0.9999995457521237
0.9999992844904908,0.1,0.1,0.9999992844904908
0.9999988109803446,0.12,0.12,0.9999988109803446
0.9999979417635498,0.14,0.14,0.9999979417635498
0.9999963250191818,0.16,0.16,0.9999963250191818
0.999993276615968,0.18,0.18,0.999993276615968
0.9999874474057665,0.2,0.2,0.9999874474057665
0.9999761397841638,0.22,0.22,0.9999761397841638
0.9999539021047996,0.24,0.24,0.9999539021047996
0.9999096020157126,0.26,0.26,0.9999096020157126
0.9998202225382411,0.28,0.28,0.9998202225382411
0.9996377175958384,0.3,0.3,0.9996377175958384
0.9992606967112205,0.32,0.32,0.9992606967112205
0.9984719079624695,0.34,0.34,0.9984719079624695
0.9967929347154538,0.36,0.36,0.9967929347154538
0.9930931908362943,0.3800000000000001,0.3800000000000001,0.9930931908362943
0.9843402399923747,0.4000000000000001,0.4000000000000001,0.9843402399923747
0.957990439862045,0.4200000000000001,0.4200000000000001,0.957990439862045
0.7797606357084399,0.4400000000000001,0.4400000000000001,0.7797606357084399
0.5176298404744308,0.4600000000000001,0.4600000000000001,0.5176298404744308
0.46374167510084,0.4800000000000001,0.4800000000000001,0.46374167510084
0.4345170010121223,0.5000000000000001,0.5000000000000001,0.4345170010121223
0.4120848576833084,0.5200000000000001,0.5200000000000001,0.4120848576833084
0.3925427587792267,0.5400000000000001,0.5400000000000001,0.3925427587792267
0.3743157204772972,0.5600000000000002,0.5600000000000002,0.3743157204772972
0.3567869620845292,0.5800000000000002,0.5800000000000002,0.3567869620845292
0.3396599391425039,0.6000000000000002,0.6000000000000002,0.3396599391425039
0.3227922210521729,0.6200000000000002,0.6200000000000002,0.3227922210521729
0.3061188423266699,0.6400000000000002,0.6400000000000002,0.3061188423266699
0.2896168325478605,0.6600000000000003,0.6600000000000003,0.2896168325478605
0.2732887423632416,0.6800000000000003,0.6800000000000003,0.2732887423632416
0.2571551746130431,0.7000000000000003,0.7000000000000003,0.2571551746130431
0.2412518908350278,0.7200000000000003,0.7200000000000003,0.2412518908350278
0.2256301529555432,0.7400000000000003,0.7400000000000003,0.2256301529555432
0.2103615379367212,0.7600000000000003,0.7600000000000003,0.2103615379367212
0.1955518363041167,0.7800000000000004,0.7800000000000004,0.1955518363041167
0.1813707539753136,0.8000000000000004,0.8000000000000004,0.1813707539753136
0.1680842606657225,0.8200000000000004,0.8200000000000004,0.1680842606657225
0.1560075028217382,0.8400000000000004,0.8400000000000004,0.1560075028217382
0.1453340765821147,0.8600000000000004,0.8600000000000004,0.1453340765821147
0.1360425761323449,0.8800000000000004,0.8800000000000004,0.1360425761323449
0.1279798001178898,0.9000000000000005,0.9000000000000005,0.1279798001178898
0.1209629895684973,0.9200000000000005,0.9200000000000005,0.1209629895684973
0.114825268714311,0.9400000000000005,0.9400000000000005,0.114825268714311
0.1094262166620499,0.9600000000000005,0.9600000000000005,0.1094262166620499
0.1046505469154497,0.9800000000000005,0.9800000000000005,0.1046505469154497
0.1004040464492039,1,1,0.1004040464492039
