/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y
0,0.08783517720223293,0,0.9999999299832329
0.02,0.07419943119028866,0.02,0.9999999069181642
0.04,0.0612280084771075,0.04,0.9999998636521448
0.06,0.04885746860680359,0.06,0.9999997824810022
0.08,0.03703644947465919,0.08,0.9999996299555207
0.1,0.02572357178214187,0.1,0.9999993427274511
0.12,0.01488619279214978,0.12,0.9999988005500582
0.14,0.004499599639839365,0.14,0.9999977747072175
0.16,-0.005453409111686862,0.16,0.9999958313585844
0.18,-0.01498253360510311,0.18,0.999992147658753
0.2,-0.02408968966055387,0.2,0.9999851607771605
0.22,-0.03276834461514228,0.22,0.9999719092883578
0.24,-0.0410025189217908,0.24,0.999946799087135
0.26,-0.04876560561252769,0.26,0.9998993118093215
0.28,-0.05601946910947773,0.28,0.9998097873321689
0.3,-0.06271471438488094,0.3,0.9996417154718069
0.32,-0.06879309731056053,0.32,0.999327653886714
0.34,-0.07419237884143473,0.34,0.9987431711410358
0.36,-0.07885296545750008,0.36,0.9976569354569489
0.3800000000000001,-0.0827252757601851,0.3800000000000001,0.9956284807182892
0.4000000000000001,-0.0857767686223615,0.4000000000000001,0.9917730009525312
0.4200000000000001,-0.08799695498842738,0.4200000000000001,0.9840579357791164
0.4400000000000001,-0.08940105368150955,0.4400000000000001,0.9664669365080794
0.4600000000000001,-0.09002647732466362,0.4600000000000001,0.8956044917526579
0.4800000000000001,-0.08993026794487802,0.4800000000000001,0.6005010822506369
0.5000000000000001,-0.0891845652785634,0.5000000000000001,0.4832416748956309
0.5200000000000001,-0.08787373061062216,0.5200000000000001,0.4405194255269552
0.5400000000000001,-0.08609223518675266,0.5400000000000001,0.4128959487259137
0.5600000000000002,-0.08394115502546386,0.5600000000000002,0.3908620942787804
0.5800000000000002,-0.08152159152345739,0.5800000000000002,0.3714581171540821
0.6000000000000002,-0.07892797392696001,0.6000000000000002,0.3533330818092227
0.6200000000000002,-0.07624231856795985,0.6200000000000002,0.3359018858545075
0.6400000000000002,-0.07353212510167582,0.6400000000000002,0.3188832211974464
0.6600000000000003,-0.07085053887464704,0.6600000000000003,0.302154623632568
0.6800000000000003,-0.06823772526694734,0.6800000000000003,0.2856808452539432
0.7000000000000003,-0.06572265904967739,0.7000000000000003,0.2694768626853538
0.7200000000000003,-0.06332494938622249,0.7200000000000003,0.2535887576882095
0.7400000000000003,-0.06105655770453022,0.7400000000000003,0.2380858568730088
0.7600000000000003,-0.05892336538709828,0.7600000000000003,0.2230633091891064
0.7800000000000004,-0.05692657729570789,0.7800000000000004,0.2086581852213006
0.8000000000000004,-0.05506394839732304,0.8000000000000004,0.1950761193744217
0.8200000000000004,-0.05333082013580927,0.8200000000000004,0.182584985921244
0.8400000000000004,-0.05172096111666543,0.8400000000000004,0.1714064298592048
0.8600000000000004,-0.05022722046910941,0.8600000000000004,0.1615898373129255
0.8800000000000004,-0.04884201475537038,0.8800000000000004,0.1530284504856072
0.9000000000000005,-0.04755767617222215,0.9000000000000005,0.1455541930518588
0.9200000000000005,-0.04636669091440607,0.9200000000000005,0.1389998762853933
0.9400000000000005,-0.04526185394795486,0.9400000000000005,0.1332204161707288
0.9600000000000005,-0.04423636217481586,0.9600000000000005,0.1280955206806042
0.9800000000000005,-0.0432838635270682,0.9800000000000005,0.1235267389411953
1,-0.04239847524264031,1,0.1194335320179739
