/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y
0,0.9999999299832329,0,0.2740914589909366
0.02,0.9999999069181642,0.02,0.2468499283428698
0.04,0.9999998636521448,0.04,0.2226795516371233
0.06,0.9999997824810022,0.06,0.2011339696284113
0.08,0.9999996299555207,0.08,0.1817214981081388
0.1,0.9999993427274511,0.1,0.1640429513093773
0.12,0.9999988005500582,0.12,0.1477996519486582
0.14,0.9999977747072175,0.14,0.1327721718485465
0.16,0.9999958313585844,0.16,0.118799735878017
0.18,0.999992147658753,0.18,0.1057651939058588
0.2,0.9999851607771605,0.2,0.09358484286974
0.22,0.9999719092883578,0.22,0.08220166676451472
0.24,0.999946799087135,0.24,0.07158078622338961
0.26,0.9998993118093215,0.26,0.06170617559990749
0.28,0.9998097873321689,0.28,0.05257785849631131
0.3,0.999641715471807,0.3,0.04420884947241198
0.32,0.999327653886714,0.32,0.03662112384687144
0.34,0.9987431711410358,0.34,0.0298399830802224
0.36,0.9976569354569489,0.36,0.02388654973914617
0.3800000000000001,0.9956284807182885,0.3800000000000001,0.01876892754540862
0.4000000000000001,0.9917730009525321,0.4000000000000001,0.01447367115992093
0.4200000000000001,0.9840579357791165,0.4200000000000001,0.01096041728128208
0.4400000000000001,0.9664669365080801,0.4400000000000001,0.008160257175537238
0.4600000000000001,0.8956044917526601,0.4600000000000001,0.005983483835437217
0.4800000000000001,0.6005010822506438,0.4800000000000001,0.00432853386510215
0.5000000000000001,0.4832416748956304,0.5000000000000001,0.003093683503130439
0.5200000000000001,0.4405194255269527,0.5200000000000001,0.002186152123603699
0.5400000000000001,0.4128959487259138,0.5400000000000001,0.001527263831087944
0.5600000000000002,0.3908620942787806,0.5600000000000002,0.001053821091476049
0.5800000000000002,0.3714581171540828,0.5800000000000002,0.0007170301367342289
0.6000000000000002,0.3533330818092229,0.6000000000000002,0.0004800203842311009
0.6200000000000002,0.3359018858545074,0.6200000000000002,0.0003153749500275169
0.6400000000000002,0.3188832211974467,0.6400000000000002,0.0002028104194886793
0.6600000000000003,0.302154623632568,0.6600000000000003,0.0001273457258889178
0.6800000000000003,0.2856808452539433,0.6800000000000003,7.792543893330498e-05
0.7000000000000003,0.2694768626853533,0.7000000000000003,4.642249076947804e-05
0.7200000000000003,0.2535887576882095,0.7200000000000003,2.692656610566302e-05
0.7400000000000003,0.2380858568730086,0.7400000000000003,1.522710581688294e-05
0.7600000000000003,0.2230633091891066,0.7600000000000003,8.41585552281089e-06
0.7800000000000004,0.2086581852213004,0.7800000000000004,4.560952183515657e-06
0.8000000000000004,0.1950761193744217,0.8000000000000004,2.433259066553367e-06
0.8200000000000004,0.1825849859212441,0.8200000000000004,1.283639013475721e-06
0.8400000000000004,0.1714064298592051,0.8400000000000004,6.732252309901819e-07
0.8600000000000004,0.1615898373129255,0.8600000000000004,3.535854625467417e-07
0.8800000000000004,0.1530284504856073,0.8800000000000004,1.880207481273603e-07
0.9000000000000005,0.1455541930518589,0.9000000000000005,1.029962326518609e-07
0.9200000000000005,0.1389998762853933,0.9200000000000005,5.964453882249159e-08
0.9400000000000005,0.1332204161707287,0.9400000000000005,3.769716149787101e-08
0.9600000000000005,0.1280955206806042,0.9600000000000005,2.670183555442892e-08
0.9800000000000005,0.1235267389411953,0.9800000000000005,2.127544438785124e-08
1,0.1194335320179739,1,1.868128542227671e-08
